protocol,bandwidth,min_delay,qmult,fairness_cross_mean,fairness_cross_std,goodput_cross_mean,goodput_cross_std,retr_cross_mean,retr_cross_std,util_mean,util_std,rejoin_util_mean,rejoin_util_std,retr_rejoin_mean,retr_rejoin_std
cubic,100,20,0.2,0.8399210979658391,0.014381720596870137,92.38278671399235,0.023003201649228807,0.027202491760253904,0.003878860757253417,95.3458,0.047997387186789094,70.675721875,3.640388287053168,0.009784698486328125,0.002058346452553362
bbr1,100,20,0.2,0.9965141386076828,0.003468399246889913,92.17307758539087,0.22611861895858207,3.647453842163086,0.1964741651287988,95.0165503125,0.24900020265311099,89.64013828124999,0.7909212308786431,4.3412017822265625,0.43023486640235
bbr3,100,20,0.2,0.98409883098178,0.013897563857052497,91.9483486088576,0.2860123495997987,0.18621219635009764,0.04028710170369048,94.83011906250002,0.24731705120511907,84.971225,2.6143217882342897,0.36655197143554685,0.03430860115153474
astraea,100,20,0.2,0.9930131499328665,0.00062582209385007,97.54951639999999,0.04098531078130932,0.5382376098632813,0.013262330539381506,95.3672390625,0.006098445066293868,90.27771484374999,0.10929241081059196,0.7332801818847656,0.038794880415207664
cubic,100,20,1.0,0.9528774145794662,0.009446158681145395,92.47198476028616,0.011246425113457567,0.02735137939453125,0.0022833759452117294,95.37018218749999,0.0007823202668931698,83.8118765625,2.766110354141324,0.02666473388671875,0.008349874768305801
bbr1,100,20,1.0,0.7720107976241628,0.03984770406340261,91.75553546600182,0.23004008230135198,1.3445313262939453,0.15397757012415259,94.415991875,0.22002963908433107,89.62648125000001,0.4490666373262725,3.1265830993652344,0.4104847688666911
bbr3,100,20,1.0,0.8247358780071645,0.04089444221988354,91.98605987427841,0.0865784930549975,0.14112144470214844,0.02746251758172932,94.71437062500002,0.1328479069840395,87.55204296874999,1.245581031067851,0.2544593811035156,0.04087824143323869
astraea,100,20,1.0,0.9956301421638145,0.0009817582419218232,97.55525759999999,0.0008790425700710392,0.000457763671875,0.00010856818749052206,95.36262343749999,0.008473206507313476,90.280953125,0.03368634042530908,0.004119873046875,0.0034456030007914574
cubic,100,20,4.0,0.9756469240342108,0.02167198564361277,92.57512153338928,0.06452040364852538,0.040752410888671875,0.007063739933086229,95.3667325,0.007000686308427238,90.84682109375,0.0077665301440531164,0.13132095336914062,0.04787714825207485
bbr1,100,20,4.0,0.6615142110924699,0.00960340048607904,91.34566538598592,0.16510054718978748,0.0,0.0,93.95630593749999,0.1782851951425839,89.02756171875001,0.12058288895158084,0.000972747802734375,0.0002288818359375
bbr3,100,20,4.0,0.8769652201993241,0.10896074763947086,92.28451405382003,0.27270442905621556,0.03948211669921875,0.01640589492277369,95.16342749999998,0.22374483753340285,87.08908828125,2.335299180576818,0.0382232666015625,0.0228814592020292
astraea,100,20,4.0,0.9966136761554327,0.00046922809756035804,97.55544839999999,0.000828375180696663,0.0,0.0,95.37008937499999,0.0009204312847699366,90.32496015625,0.07834413931519763,0.004863739013671875,0.004376523554070956
